work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,EX,FT,Data Scientist,300000,USD,300000,US,100,US,L
2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,M
2020,MI,FT,Lead Data Analyst,87000,USD,87000,US,100,US,L
2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,L
2020,SE,FT,Lead Data Scientist,190000,USD,190000,US,100,US,S
2020,EN,PT,Machine Learning Engineer,14000,EUR,15966,DE,100,DE,S
2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,L
2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,S
2020,MI,FT,Data Scientist,3000000,INR,40481,IN,0,IN,L
2020,EX,FT,Data Scientist,325000,USD,325000,US,100,US,L
2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,M
2020,SE,FT,Machine Learning Scientist,260000,USD,260000,JP,0,JP,S
2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M
2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,L
2020,EN,FT,Data Analyst,20000,EUR,22809,PT,100,PT,M
2020,MI,FT,Data Scientist,70000,EUR,79833,DE,0,DE,L
2020,MI,FT,Business Data Analyst,135000,USD,135000,US,100,US,L
2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,L
2020,SE,FT,Data Scientist,190200,USD,190200,US,100,US,M
2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,L
2020,SE,FT,Big Data Engineer,100000,EUR,114047,PL,100,GB,S
2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,L
2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S
2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,L
2020,EX,FT,Data Engineer,70000,EUR,79833,ES,50,ES,L
2020,SE,FT,Staff Data Scientist,164000,USD,164000,US,50,US,M
2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,S
2020,MI,FT,Lead Data Engineer,56000,USD,56000,PT,100,US,M
